Código;Nombre del alimento/preparación;Energía (kcal);Energía (kJ);Agua (g);Proteínas (g);Grasa total (g);Carbohidratos totales (g);Carbohidratos disponibles (g);Fibra dietaria (g)
A86;Galleta dulce con avena y base sabor a frutos rojos;465;1946;2,7;6,7;20,8;68,0;62,8;5,1
A87;Galleta dulce con avena y granola (con fibra);444;1859;3,2;8,0;16,9;70,2;65,2;5,0
A88;Galleta dulce con avena, manzana y canela (con fibra);426;1784;3,4;7,2;14,3;73,6;67,4;6,2
A89;Galleta dulce con avena y uvas pasas (con fibra);433;1812;3,3;7,2;14,9;73,0;67,6;5,4
A90;Galleta dulce con relleno (Casino);499;2087;1,9;4,7;22,0;70,5;•;•
A91;Galleta dulce con relleno “chocolate” (Coronita);492;2058;2,5;5,7;21,1;69,8;•;•
A92;Galletas nutritivas de maca;443;1854;3,0;7,0;16,1;72,2;67,6;4,6
A93;Hiwicto marfil oscuro;368;1481;10,6;9,0;2,0;76,8;•;•
A94;Hiwicto negro;365;1469;12,0;9,0;2,7;74,6;•;•
A95;Kara ceniza o kala;367;1481;10,3;11,6;2,3;73,6;•;•
A96;Kara color pajizo;366;1469;11,1;7,2;2,5;76,9;•;•
A97;Kiwicha, harina de;352;1474;10,9;12,2;7,9;66,4;58,0;8,4
A98;Kiwicha pop de Huánuco;370;1548;8,6;13,1;8,9;66,5;59,5;7,1
A99;Kiwicha, precocida, hojuela de;400;1675;8,4;13,4;8,1;68,0;•;•
A100;Kiwicha, precocida, hojuela de (orgánica);352;1473;10,8;11,9;7,6;67,7;58,9;8,7
A101;Llipta sara, variedad de maíz;370;1550;11,3;7,4;4,2;75,9;•;•
A102;Maíz blanco, harina;343;1435;11,6;5,5;5,0;76,6;71,0;5,6
A103;Maíz blanco precocido, harina de (chochoca);328;1371;12,1;6,8;5,2;74,8;65,9;8,9
A104;Maíz morado, harina de (api);318;1331;11,4;8,5;4,2;74,3;64,5;9,8
A105;Pan árabe;290;1213;27,8;10,3;3,5;56,7;54,3;2,4
A106;Pan cachanga;445;1862;17,4;7,7;26,1;47,4;•;•
A107;Pan campesino de Lima;276;1153;36,1;10,0;5,7;46,0;•;•
A108;Pan ciabatta;265;1108;32,1;9,2;2,0;55,0;52,6;2,5
A109;Pan chapla;321;1343;22,2;9,3;3,5;63,2;•;•
A110;Pan chuta;387;1620;16,3;9,5;11,1;62,3;•;•
A111;Pan cortadillo de Cajamarca;361;1509;17,8;6,9;7,1;67,2;•;•
A112;Pan cuay de trigo de Carhuaz;358;1500;23,8;10,0;11,6;53,4;•;•
A113;Pan cuay de trigo de Huaraz;297;1241;31,6;7,6;10,1;48,9;43,8;5,1
A114;Pan de calabaza de Huancavelica;274;1148;35,3;11,5;3,9;48,4;•;•
A115;Pan de chicharrón de Chiclayo;338;1414;25,5;9,9;9,0;54,3;•;•
A116;Pan de girasol de Lima;267;1115;40,9;10,7;7,7;38,7;•;•
A117;Pan de hamburguesa de Iquitos;316;1323;24,4;10,8;4,7;57,7;•;•
A118;Pan de huevo;336;1408;23,2;9,3;6,9;59,4;•;•
A119;Pan de maíz;319;1336;25,4;7,7;8,7;56,7;52,6;4,1
A120;Pan de maíz de Carhuaz;323;1352;27,9;9,2;8,0;53,5;•;
A121;Pan de maíz de Huaraz;359;1501;22,0;8,0;15,2;53,0;47,5;5,5
A122;Pan de quinua de Lima;241;1009;39,8;9,5;1,7;47,0;•;•
A123;Pan de trigo artesanal de Carhuaz;286;1197;32,5;8,8;4,6;52,4;•;•
A124;Pan de yema;321;1342;25,6;9,4;8,1;55,4;52,5;2,9
A125;Pan de yema de Cajamarca;365;1526;23,7;9,2;12,9;52,9;•;•
A126;Pan dulce de Lima;290;1215;32,6;11,9;5,0;49,5;•;•
A127;Pan huaro;338;1413;21,1;9,9;5,5;62,2;•;•
A128;Pan Huascarán de Lima;265;1111;37,3;9,4;4,8;46,3;•;•
A129;Pan integral;339;1419;24,3;9,1;9,0;55,5;•;•
A130;Pan marraqueta de Chiclayo;321;1342;21,0;6,4;2,2;68,9;•;•
A131;Pan mestizo de Huánuco;399;1668;18,1;9,6;15,7;54,8;•;•
A132;Pan mishtishongo de Huánuco;410;1715;20,7;9,1;20,0;48,5;•;•
A133;Pan mollete de Chiclayo;284;1189;32,5;10,2;3,8;52,3;•;•
A134;Pan mollete, chico;364;1523;25,5;9,6;16,3;47,0;44,7;2,3
A135;Pan torta de Cajamarca;355;1487;19,4;9,4;8,0;61,5;•;•
A136;Pan 3 granos (quinua, cañihua y kiwicha) de Lima;219;914;46,5;8,6;2,5;40,5;•;•
A137;Pan vico;343;1437;24,3;9,3;9,1;56,1;•;•
A138;Pan vico de Iquitos;333;1394;19,3;11,6;4,1;62,4;•;•
A139;Pasta con huevo sin fortificar, cruda*;375;1567;9,0;14,2;4,4;71,3;68,0;3,3
A140;Pasta con huevo fortificada, cruda*;375;1567;9,0;14,2;4,4;71,3;68,0;3,3
A141;Pasta fortificada, cruda*;360;1506;9,9;13,0;1,5;74,7;71,5;3,2
A142;Pasta sin fortificar, cruda*;360;1506;9,9;13,0;1,5;74,7;71,5;3,2
A143;Quinua, variedad real;331;1385;12,9;14,2;5,1;65,9;56,7;9,1
A144;Quinua, variedad Ayara (�uno);276;1156;12,3;14,0;6,3;62,6;41,1;21,5
A145;Quinua, variedad blanca de Juli (�uno);347;1453;10,2;11,6;4,8;70,6;63,7;6,9
A146;Quinua, variedad CICA-18 (Puno);345;1445;9,8;14,4;5,7;66,4;58,7;7,6
A147;Quinua, variedad CICA-127 (Puno);360;1506;8,9;15,8;5,2;67,1;62,0;5,1
A148;Quinua, variedad Cuchiwilla (Puno);317;1327;11,4;15,2;5,2;64,3;52,1;12,2
A149;Quinua, variedad Choclito (Puno);342;1430;11,7;13,4;5,2;67,1;59,9;7,2
A150;Quinua, variedad Chullpi- roja (Puno);330;1379;11,3;13,7;5,5;66,9;55,9;10,9
A151;Quinua, variedad Misa Jiura (Puno);349;1460;10,5;12,3;5,4;68,6;62,2;6,4
A152;Quinua, variedad Pasankalla-roja (Puno);355;1486;10,1;12,7;6,2;68,5;61,6;6,9
A153;Quinua, variedad Q’ OITU-negra (Puno);308;1288;11,5;11,6;4,9;68,2;53,9;14,3
A154;Quinua, variedad Wariponcho (Puno);347;1451;11,5;12,6;5,5;67,9;61,2;6,7
A155;Quinua, variedad Witulla (Puno);350;1464;9,9;13,7;5,9;67,8;60,2;7,7
A156;Rosquita de almidón de Iquitos;469;1962;3,3;1,8;18,3;74,2;•;•
A157;Siete harinas (trigo, habas, arvejas, kiwicha, cañihua, cebada, quinua);347;1453;1,5;8,8;3,2;84,8;70,8;14,1
A158;Trigo, hojuela de (chaque);322;1346;16,0;10,0;2,5;70,2;•;•
A159;Trigo sin tostar (chaquepa);338;1416;11,9;7,0;2,2;77,9;•;•
A160;Trigo tostado (chaquepa);369;1545;3,9;7,6;2,5;84,9;•;•
B1;Acelga, hojas de (sin tallo);8;35;93,3;2,1;0,1;3,2;0,8;2,4
B2;Acelga, tallos de;9;36;94,8;0,7;0,3;2,8;1,2;1,6
B3;Ají amarillo fresco;39;163;88,9;0,9;0,7;8,8;•;•
B4;Ají amarillo molido fresco sin sal;52;218;60,2;1,9;1,7;9,2;•;•
B5;Ají amarillo seco;199;834;16,6;7,3;6,3;64,8;36,1;28,7
B6;Ají panca;189;790;20,2;7,0;7,8;58,5;29,8;28,7
B7;Ají colorado no picante (molido con sal);43;180;69,8;1,9;1,3;9,2;7,7;1,5
B8;Ají colorado molido;37;154;72,6;2,1;1,0;8,0;6,5;1,5
B9;Ají de mesa;40;167;89,1;1,8;1,2;7,2;•;•
B10;Ají de vaina;58;243;83,2;2,6;1,1;11,9;•;•
B11;Ají dulce;17;71;91,0;0,9;0,5;7,1;3,1;4,0
B12;Ají verde;57;238;82,9;2,5;0,8;12,4;•;•
B13;Ajo sin cáscara;121;508;61,4;5,6;0,8;30,4;28,3;2,1
B14;Albahaca sin tallo;29;122;86,7;2,9;1,2;7,3;3,4;3,9
B15;Alcachofa;24;101;77,8;2,2;0,2;18,9;4,9;14,0
B16;Alfalfa brotes tiernos;20;84;91,1;4,0;0,7;3,8;1,3;2,5
B17;Apio, tallo sin hojas;8;35;94,0;1,0;0,2;3,8;1,1;2,8
B18;Berenjena;12;49;92,4;1,0;0,1;5,9;2,3;3,6
B19;Berenjena Costeña o tomate de árbol;41;172;87,5;1,3;0,3;9,8;•;•
B20;Berro;31;130;89,3;3,4;0,8;5,0;4,5;0,5
B21;Brocoli;32;135;89,9;3,9;1,3;4,0;3,3;0,7
B22;Caigua;15;63;95,0;0,5;0,2;3,3;•;•
B23;Caigua serrana;19;80;93,5;1,5;0,1;4,1;•;•
B24;Calabaza china;13;54;93,1;0,7;0,1;5,8;2,9;2,9
B25;Calabaza italiana;15;63;93,9;0,5;0,3;4,9;3,2;1,7
B26;Cebolla blanca;24;102;91,2;0,9;0,1;7,4;6,0;1,4
B27;Cebolla chilena;19;79;92,9;0,8;0,1;5,9;4,5;1,4
B28;Cebollita china;36;150;88,7;2,3;0,4;7,5;•;•
B29;Cebolla de cabeza;40;169;86,3;1,4;0,2;11,3;9,9;1,4
B30;Cebolla de cola;26;108;90,6;0,9;0,1;7,8;6,4;1,4
B31;Col blanca;19;81;93,3;1,0;1,1;4,2;2,3;1,9
B32;Col crespa o repollo, sin cogollo;15;65;92,4;1,5;0,3;4,9;2,6;2,3
B33;Col china sin tallo;22;93;91,0;1,8;0,3;5,3;4,3;1,0
B34;Col de “Bruselas”;45;188;81,3;4,6;0,4;12,3;8,5;3,8
B35;Col, hojas de;32;132;88,1;2,7;0,6;7,6;5,6;2,0
B36;Col negra;14;60;91,7;1,7;0,4;5,5;1,9;3,6
B37;Col silvestre;54;226;82,9;2,5;0,6;12,1;•;•
B38;Coliflor sin tallo y sin hojas;17;72;91,6;2,2;0,6;4,4;1,9;2,5
B39;Culantro sin tallo;34;142;85,6;3,3;1,3;7,0;4,2;2,8
B40;Chiclayo, calabaza;16;68;93,2;0,6;0,1;5,6;3,9;1,7
B41;Chonta;49;205;84,9;3,4;0,7;9,7;•;•
B42;Escarola;7;30;93,6;1,2;0,2;3,8;0,7;3,1
B43;Esparragos;15;62;93,0;2,2;0,3;3,8;2,1;1,7
B44;Espinaca blanca;24;102;89,5;1,9;0,6;6,3;4,1;2,2
B45;Espinaca negra sin tronco;24;100;90,0;2,8;0,9;4,9;2,7;2,2
B46;Frejolito chino germinado;9;38;96,5;1,4;0,1;1,8;1,5;0,3
B47;Hierbabuena;41;171;86,7;3,1;1,0;7,0;•;0,0
B48;Huacatay sin tallo;50;211;83,4;5,0;0,8;8,8;•;•
B49;Janchoy, hojas de;27;113;90,8;1,6;0,2;6,0;•;•
B50;Jetka, hojas de;66;276;78,1;7,3;1,7;9,5;•;•
B51;Kailán, hojas de;48;201;84,9;3,2;0,9;9,1;•;•
B52;Kailán, tallos de;24;100;92,0;1,2;0,3;5,2;•;•
B53;Lechuga americana;7;28;96,6;0,6;0,1;2,4;1,2;1,2
B54;Lechuga larga;12;49;93,4;1,5;0,2;3,9;1,8;2,1
B55;Lechuga redonda;8;32;95,7;1,3;0,2;2,1;0,8;1,3
B56;Manchay;53;222;84,8;0,4;0,1;14,4;•;•
B57;Mastuerzo, hojas de;44;185;86,3;1,8;1,3;9,2;8,1;1,1
B58;Mostaza, hojas de;21;88;89,0;3,5;0,6;5,2;2,1;3,1
B59;Muña, seca;268;1121;16,0;3,2;2,8;66,3;•;•
B60;Nabo;10;40;94,7;0,6;0,2;3,6;1,8;1,8
B61;Nabo, hojas de;24;100;88,1;2,9;0,4;7,0;3,8;3,2
B62;Orégano fresco;48;201;85,1;1,6;0,5;11,3;•;•
B63;Pacchoy, hojas de;25;103;90,5;1,3;0,3;6,3;5,3;1,0
B64;Pacchoy, tallos de;18;77;92,0;0,4;0,2;5,4;4,4;1,0
B65;Paico;41;170;81,7;5,0;1,1;9,2;5,4;3,8
B66;Pajuro;120;502;64,4;2,1;0,3;31,5;•;•
B67;Pepinillo sin cáscara;9;37;96,4;0,5;0,1;2,6;1,9;0,7
B68;Perejil sin tallo;41;172;82,0;4,8;0,7;9,9;6,6;3,3
B69;Pimiento rojo;27;114;92,3;1,2;1,3;4,6;3,7;0,9
B70;Pirca;42;176;86,2;4,0;0,6;7,6;•;•
B71;Poro sin hojas;34;142;87,8;2,7;0,8;7,6;5,8;1,8
B72;Quinua, hojas de;50;209;81,4;4,7;0,6;9,5;•;•
B73;Rabanitos;7;31;95,1;0,8;0,1;2,9;1,3;1,6
B74;Rabicol;22;92;92,8;2,0;0,2;4,2;•;•
B75;Radicheta o achicoria;17;70;90,0;1,9;0,5;6,2;2,2;4,0
B76;Rocoto fresco;36;151;89,5;1,2;0,5;8,2;•;•
B77;Ruda;82;343;75,4;4,1;1,7;16,1;•;•
B78;Siuca culantro;28;116;87,6;1,9;0,5;8,1;5,3;2,8
B79;Tomate;15;61;94,2;0,8;0,2;4,3;3,1;1,2
B80;Tomate italiano;12;51;94,8;0,8;0,2;3,6;2,4;1,2
B81;Tomate, con carne salsa de;106;444;77,7;2,7;5,7;11,0;•;•
B82;Tomate, salsa de;18;76;75,0;1,5;0,7;3,9;2,4;1,5
B83;Tomate, salsa concentrada de;75;314;75,3;2,7;1,0;16,8;•;•
B84;Vainitas;25;105;88,2;2,4;0,3;8,1;4,7;3,4
B85;Zanahoria;19;78;90,2;1,0;0,3;7,6;3,6;4,1
B86;Zanahoria, harina de;293;1226;11,8;7,3;1,5;67,7;•;•
B87;Zapallo italiano;14;59;95,4;0,9;0,2;2,9;•;•
B88;Zapallo loche;58;242;79,8;2,6;0,2;16,2;13,9;2,3
B89;Zapallo macre;26;109;92,0;0,7;0,2;6,4;•;•
B90;Ají charapita;78;326;76,3;3,9;0,8;17,4;•;•
B91;Ají cerezo;64;268;80,0;4,2;0,5;14,1;•;•
B92;Ají colorado seco**;328;1374;7,8;9,5;2,8;78,8;•;•
B93;Ají uña de pava;57;241;82,8;3,0;0,7;12,5;•;•
B94;Ajos variedad Barranquino;115;482;59,4;6,2;0,3;32,6;27,2;5,4
B95;Ajos variedad Napuri;115;482;58,6;7,7;0,3;31,8;26,4;5,4
B96;Ajos variedad Napuri fresco, molido en aceite sin sal;203;848;51,5;5,1;9,1;33,2;31,9;1,3
B97;Ajos variedad Napuri fresco, molido en aceite con sal;185;775;49,3;4,8;5,2;37,2;36,3;0,8
B98;Ajos variedad Napuri fresco, molido en agua sin sal;77;321;73,2;4,9;0,2;20,9;17,8;3,1
B99;Ajos variedad Napuri fresco, molido en agua con sal;84;353;69,0;5,0;0,3;21,6;19,6;2,0
B100;Alcaparras****;31;131;78,6;2,3;0,6;5,8;•;•
B101;Cebolla variedad americana;22;91;91,1;1,4;0,4;6,9;4,4;2,5
B102;Cebolla variedad perilla;28;117;89,3;1,4;0,4;8,5;6,0;2,5
B103;Chijchipa;45;188;85,3;3,3;0,4;9,3;•;•
B104;Chullcos, ajos silvestres;92;385;73,7;1,8;0,5;23,5;•;•
B105;Col china con hoja y tallo;15;62;95,1;1,4;1,1;2,0;0,7;1,2
B106;Coliflor con tallo y sin hojas;20;86;91,9;2,1;0,6;4,7;2,9;1,8
B107;Culantro, con hojas y tallo;15;62;88,4;3,5;0,2;5,9;1,2;4,7
B108;Espinaca, hojas sin tallo;30;128;86,9;4,8;1,4;4,7;1,9;2,8
B109;Estragón, secos;269;1126;7,7;22,8;7,2;50,2;42,8;7,4
B110;Hinojo, tallo, fresco, crudo;19;80;92,8;1,9;0,2;3,6;•;•
B111;Kión sin cáscara;49;205;84,9;0,1;0,4;13,7;11,8;2,0
B112;Lechuga de seda;10;42;95,9;1,3;0,1;2,3;1,7;0,6
B113;Llampun Cjana “Cjana-cjana”;254;1061;12,1;29,5;6,0;36,8;•;•
B114;Pacchoy con hojas y tallo;5;20;96,1;1,0;0,3;1,8;0,1;1,7
B115;Paico, Hojas de;28;117;84,1;5,7;0,3;6,6;3,2;3,4
B116;Pimiento verde**;31;131;90,7;1,3;0,2;7,5;•;•
B117;Rocoto molido con cáscara en agua sin sal;17;69;93,7;0,2;0,1;5,5;4,2;1,4
B118;Romero fresco*;81;338;67,8;3,3;5,9;20,7;6,6;14,1
B119;Tomate de palito;44;185;86,5;1,6;0,2;10,8;•;•
B120;Tomate redondo, con cáscara;18;75;93,9;0,7;0,3;4,7;4,0;0,7
B121;Tomillo seco*;181;756;7,8;9,1;7,4;63,9;26,9;37,0
B122;Zapallito;57;236;82,2;1,9;0,1;14,3;•;•
B123;Zapallo avinca;29;122;91,0;0,9;0,1;7,3;•;•
B124;Zapallo criollo;28;119;91,0;0,6;0,2;7,6;7,1;0,5
B125;Zapallo ombligo;21;88;93,5;0,9;0,2;4,8;•;•
C1;Abridores;57;239;82,0;0,8;0,1;16,4;14,9;1,5
C2;Aceituna de botija;298;1247;57,5;0,8;32,1;7,3;•;•
C3;Aceitunas negras preparadas;292;1224;41,0;2,2;22,4;30,3;27,1;3,2
C4;Airampo;51;212;85,9;1,8;0,5;11,2;•;•
C5;Aguaje;283;1184;53,6;2,3;25,1;18,1;•;•
C6;Anona;45;188;85,0;1,1;0,4;12,9;10,5;2,4
C7;Durazno-Melocotón;43;180;86,3;0,8;0,2;12,4;10,8;1,6
C8;Caimito;49;205;83,5;1,8;0,5;13,6;10,8;2,8
C9;Camu-camu;24;100;93,3;0,5;0,1;5,9;•;•
C10;Capulí;63;264;82,3;0,7;0,4;15,9;•;•
C11;Chambiro;118;494;75,9;1,5;7,3;14,5;•;•
C12;Chirimoya;72;302;75,4;1,9;0,3;21,6;17,7;4,0
C13;Ciruela;82;343;76,3;1,0;0,2;21,5;•;•
C14;Coco;286;1197;56,4;3,4;28,1;10,8;•;•
C15;Coco, agua de;10;43;95,5;0,7;0,1;3,1;2,0;1,1
C16;Cocona;42;176;88,5;0,9;0,7;9,2;•;•
C17;Dátiles;195;817;36,8;1,4;0,5;59,8;51,8;8,0
C18;Fresa;34;142;89,1;0,7;0,8;8,9;6,9;2,0
C19;Granada;66;277;80,0;0,5;0,1;18,3;17,7;0,6
C20;Granadilla;51;214;82,3;2,5;2,7;11,4;5,7;5,8
C21;Granadilla, jugo enlatado de;62;258;82,0;1,1;0,0;16,1;•;•
C22;Guanábana;44;185;84,0;0,9;0,2;14,3;11,0;3,3
C23;Guayaba;37;154;83,9;0,5;0,1;14,9;9,5;5,4
C24;Guayaba amarilla con cáscara;13;53;88,2;1,2;0,3;9,7;1,7;8,0
C25;Guayaba rosada;37;154;84,0;0,5;0,2;14,7;9,3;5,4
C26;Guayaba verde;36;151;84,3;0,5;0,1;14,7;9,3;5,4
C27;Higo negro;65;272;78,0;0,9;0,1;19,9;17,0;2,9
C28;Higo seco;146;612;47,7;3,6;0,2;46,6;36,8;9,8
C29;Huito;55;230;83,9;1,2;0,1;14,0;•;•
C30;Humarí / Umari, sin pepa y sin cáscara;163;682;62,1;1,6;8,1;27,4;25,0;2,4
C31;Kaki;64;270;78,1;0,5;0,1;20,8;17,2;3,6
C32;Kumuvi;101;423;71,9;0,7;0,6;25,9;•;•
C33;Lima;13;55;92,8;0,6;0,4;5,9;3,1;2,8
C34;Limón, jugo de;28;119;89,3;0,5;0,2;9,7;9,3;0,4
C35;Lúcuma;97;406;61,7;2,1;0,2;34,9;24,7;10,2
C36;Lúcuma, harina de;329;1377;9,3;4,0;2,4;82,0;•;•
C37;Macambo, pulpa y semilla;177;741;61,1;6,7;9,2;21,5;•;•
C38;Macambo, pulpa de;44;184;88,0;2,1;0,8;8,3;•;•
C39;Mamey maduro;27;111;88,9;0,5;0,1;9,7;6,7;3,0
C40;Mandarina;29;121;90,1;0,6;0,3;8,6;6,8;1,8
C41;Mango;54;225;83,0;0,4;0,2;15,9;14,1;1,8
C42;Manzana nacional;50;208;84,7;0,3;0,1;14,6;13,3;1,3
C43;Maracuyá, jugo puro de;61;256;82,3;0,9;0,1;16,1;15,9;0,2
C44;Marañón;35;146;87,9;0,8;0,5;10,5;7,8;2,7
C45;Melón;21;86;92,9;0,5;0,1;5,8;5,0;0,8
C46;Melón enano;20;84;94,3;0,6;0,2;4,4;•;•
C47;Membrillo;36;152;86,9;0,3;0,1;11,5;9,6;1,9
C48;Naranja;31;131;88,5;0,6;0,2;10,1;7,7;2,4
